REG,PRV,MUN,HSN,B1,B2,B3,B4,B5,B6,B7,B8,D1,H1,H2,H3A,H3B,H3C,H3D,H3E,H3F,H4,H5,H6,H7,H8,H9,H10,H11A,H11B,H11C,H11D,H13,H14_PRVMUN,H14_RECODE,H15A,H15B,H15C,H15D,H15E,H15F,H15G,H15H,H15I,H15J,H15K,H15L,H15M,H15N,H15O,H15P,H15Q,H15R,H15S,H16A,H16B,H16C,H16D,H17A,H17B,H17C,H17D,H17E,H17F,H17G,H17H,HHWGT
02,009,01,000057,1,1,2,01,1,1,1,04,06,1,1, , , , , , , ,6,02,1,3,13,01,1,1,2,2,226,0901,1,1,1,2,1,2,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0005.099697885
02,009,01,000058,1,1,1,04,5,1,1,09,04,6, , , , , , , , ,6,02,1,3,13,01,1,1,2,2,128,0901,1,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,2,2,1,0004.278571429
02,009,01,000059,1,2,2,01,1,1,1,10,07,1,1, , , , , , , ,7,02,1,3,13,01,1,2,2,2,128,0901,1,1,2,2,1,2,1,1,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0005.099697885
02,009,01,000060,1,2,2,01,1,1,1,10,07,1,1, , , , , , , ,7,02,1,3,13,01,1,2,2,2,128,0901,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0005.099697885
02,009,01,000061,1,1,1,03,2,1,2,08,05,1,1, , , , , , , ,6,01,1,3,01,01,2,2,2,2,128,0901,1,2,1,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0005.099697885
02,009,01,000062,1,1,2,03,2,1,1,09,02,5, , , , , , , ,3,6,02,1,3,01,01,1,2,2,2,128,0901,1,2,1,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,0004.747826087
02,009,01,000063,1,1,2,01,1,1,2,10,05,5, , , , , , , ,5,5,02,1,3,13,02,2,2,2,2,128,0901,1,1,1,2,1,2,1,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,1,0004.747826087
02,009,01,000064,1,1,2,01,1,1,2,10,09,1,1, , , , , , , ,6,02,1,3,13,01,1,1,2,2,128,0901,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0005.099697885
02,009,01,000065,1,1,1,03,5,1,1,10,06,1,1, , , , , , , ,6,02,1,3,02,01,1,1,2,2,128,0901,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,2,2,2,2,2,1,0005.099697885
02,009,01,000066,1,1,1,01,6,1,1,09,05,1,1, , , , , , , ,6,02,1,3,13,01,1,2,2,2,128,0901,1,1,1,2,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,2,0005.099697885
02,009,01,000067,1,1,2,01,3,1,1,10,05,6, , , , , , , , ,6,02,1,3,02,02,1,1,2,2,128,0901,1,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0004.278571429
02,009,01,000068,1,1,1,01,6,1,1,06,05,6, , , , , , , , ,6,02,1,3,02,01,1,2,2,2,128,0901,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,0004.278571429
02,009,01,000069,1,1,1,01,3,1,1,10,08,1,1, , , , , , , ,6,02,1,3,02,01,1,1,2,2,128,0901,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,1,0005.099697885
02,009,01,000070,1,1,2,01,6,1,1,10,06,5, , , , , , , ,5,6,02,1,3,13,01,1,2,2,2,128,0901,1,1,1,2,1,2,1,2,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,1,1,1,2,2,2,2,1,0004.747826087
02,009,01,000071,1,1,1,01,2,1,1,10,06,1,1, , , , , , , ,6,02,1,3,01,02,2,1,2,2,128,0901,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,0005.099697885
02,009,01,000072,1,1,1,01,2,1,1,04,08,1,1, , , , , , , ,6,02,1,3,13,01,2,2,2,2,128,1599,3,1,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,0005.099697885
02,009,01,000073,1,1,1,03,2,1,2,08,05,1,1, , , , , , , ,6,01,1,3,01,01,2,2,2,2,128,0901,1,2,1,2,1,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,0005.099697885
